Enhetsnamn;Årskurs;Kön;Skolform;År;Månad;Total schemalagd tid;Närvarande;Total frånvaro;Giltig frånvaro;Ogiltig frånvaro;Ej registrerad
Annedalsskolan F-6;0;Flicka;Grundskola;2025;8;45440;35920;1600;1600;0;7920
Annedalsskolan F-6;0;Pojke;Grundskola;2025;8;53480;42735;2105;2050;55;8640
Annedalsskolan F-6;0;Pojke;Grundskola;2025;9;118340;95418;7682;7455;227;15240
Annedalsskolan F-6;0;Flicka;Grundskola;2025;9;100275;79038;7267;7150;117;13970
Annedalsskolan F-6;0;Flicka;Grundskola;2025;10;97530;87215;1845;1700;145;8470
Annedalsskolan F-6;0;Pojke;Grundskola;2025;10;114760;101001;4519;4120;399;9240
Annedalsskolan F-6;0;Flicka;Grundskola;2025;11;101550;97408;3042;2975;67;1100
Annedalsskolan F-6;0;Pojke;Grundskola;2025;11;132015;119513;11072;10800;272;1430
Annedalsskolan F-6;0;Pojke;Grundskola;2025;12;93795;82068;11727;11410;317;0
Annedalsskolan F-6;0;Flicka;Grundskola;2025;12;72150;68895;3255;3225;30;0
Annedalsskolan F-6;0;Pojke;Grundskola;2026;1;108940;93424;15516;14870;646;0
Annedalsskolan F-6;0;Flicka;Grundskola;2026;1;83800;79216;4584;4516;68;0
Annedalsskolan F-6;0;Pojke;Grundskola;2026;2;88725;79979;8746;8355;391;0
Annedalsskolan F-6;0;Flicka;Grundskola;2026;2;68250;64632;3618;3515;103;0
Annedalsskolan F-6;0;Flicka;Grundskola;2026;3;90850;85350;3600;3390;210;1900
Annedalsskolan F-6;0;Pojke;Grundskola;2026;3;118105;103423;12212;11985;227;2470
Annedalsskolan F-6;0;Flicka;Grundskola;2026;4;9550;9235;315;310;5;0
Annedalsskolan F-6;0;Pojke;Grundskola;2026;4;12415;10990;1425;1340;85;0
Annedalsskolan F-6;1;Pojke;Grundskola;2025;8;59560;42830;5180;4430;750;11550
Annedalsskolan F-6;1;Flicka;Grundskola;2025;8;52660;40805;2665;2495;170;9190
Annedalsskolan F-6;1;Pojke;Grundskola;2025;9;124980;98770;7870;5320;2550;18340
Annedalsskolan F-6;1;Flicka;Grundskola;2025;9;110970;92967;3913;3895;18;14090
Annedalsskolan F-6;1;Pojke;Grundskola;2025;10;111530;83930;4100;4100;0;23500
Annedalsskolan F-6;1;Flicka;Grundskola;2025;10;104940;81273;4267;3740;527;19400
Annedalsskolan F-6;1;Flicka;Grundskola;2025;11;117650;90699;4341;3860;481;22610
Annedalsskolan F-6;1;Pojke;Grundskola;2025;11;121050;84625;7215;7215;0;29210
Annedalsskolan F-6;1;Flicka;Grundskola;2025;12;84360;56528;6617;5710;907;21215
Annedalsskolan F-6;1;Pojke;Grundskola;2025;12;86430;57450;3325;3325;0;25655
Annedalsskolan F-6;1;Pojke;Grundskola;2026;1;94080;72505;4150;3460;690;17425
Annedalsskolan F-6;1;Flicka;Grundskola;2026;1;93940;65379;12681;11870;811;15880
Annedalsskolan F-6;1;Flicka;Grundskola;2026;2;77270;55666;9504;7460;2044;12100
Annedalsskolan F-6;1;Pojke;Grundskola;2026;2;77460;54500;9900;9780;120;13060
Annedalsskolan F-6;1;Pojke;Grundskola;2026;3;105060;83100;6505;6505;0;15455
Annedalsskolan F-6;1;Flicka;Grundskola;2026;3;104300;83215;7165;7055;110;13920
Annedalsskolan F-6;1;Pojke;Grundskola;2026;4;11100;3350;615;615;0;7135
Annedalsskolan F-6;1;Flicka;Grundskola;2026;4;11600;4970;60;60;0;6570
Annedalsskolan F-6;2;Flicka;Grundskola;2025;8;40445;35585;3120;2990;130;1740
Annedalsskolan F-6;2;Pojke;Grundskola;2025;8;67660;59845;5205;5075;130;2610
Annedalsskolan F-6;2;Pojke;Grundskola;2025;9;147575;137435;4070;3975;95;6070
Annedalsskolan F-6;2;Flicka;Grundskola;2025;9;88550;80375;4825;4615;210;3350
